travel_city,travel_name,travel_total,travel_place,travel_notes_url
香港,Hong Kong,342113人去过,香港海洋公园、星光大道、维多利亚港、太平山、尖沙咀、金紫荆广场、香港迪士尼乐园、中环、弥敦道、兰桂坊、中银大厦、香港杜莎夫人蜡像馆、旺角、中环至半山自动扶梯、湾仔、黄大仙祠、铜锣湾、庙街、凌霄阁、重庆大厦,https://place.qyer.com/hong-kong//travel-notes/
澳门,Macau,203118人去过,澳门大三巴牌坊、大炮台、议事亭前地、玫瑰堂、官也街、妈阁庙、氹仔岛、澳门渔人码头、民政总署大楼、大三巴街、澳门博物馆、金莲花广场、岗顶前地、玛嘉烈蛋挞店、澳门旅游塔、龙环葡韵住宅式博物馆、东望洋炮台、圣若瑟修院及圣堂、黑沙海滩、妈祖像,https://place.qyer.com/macau//travel-notes/
台北,Taipei,135385人去过,台北故宫博物院、台北101大楼、西门町、中正纪念堂、士林夜市、国父纪念馆、士林官邸、台北总统府、台北车站、阳明山国家公园、红楼创意市集、西门红楼、阿宗面线、猫空站、龙山寺、师大夜市、北投温泉博物馆、101觀景台、松山文创园区、饶河街观光夜市,https://place.qyer.com/taipei//travel-notes/
台湾,Taiwan,113461人去过,台北故宫博物院、台北101大楼、西门町、中正纪念堂、士林夜市、国父纪念馆、垦丁大街、鹅銮鼻公园、士林官邸、鹅銮鼻灯塔、九份老街、七星潭、台北总统府、船帆石、清水断崖、六合夜市、日月潭、高雄捷运美丽岛站(光之穹顶)、打狗英国领事馆、台湾最南点碑,https://place.qyer.com/taiwan//travel-notes/
北京,Beijing,94143人去过,故宫、颐和园、圆明园、天安门广场、北京野生动物园、北京欢乐谷、恭王府、天坛、北京汽车博物馆、北海公园、北京动物园、中国科学技术馆、景山公园、南锣鼓巷、北京杜莎夫人蜡像馆、北京海洋馆、世界公园、香山公园、富国海底世界、雍和宫,https://place.qyer.com/beijing//travel-notes/
上海,Shanghai,90269人去过,东方明珠电视塔、上海野生动物园、上海海洋水族馆、上海科技馆、上海杜莎夫人蜡像馆、上海海昌海洋公园、豫园、上海长风海洋世界、上海动物园、城隍庙旅游区、顾村公园、上海自然博物馆、金茂大厦、银行博物馆、东方绿舟、上海汽车博物馆、中国航海博物馆、浦东开发陈列馆、上海海湾国家森林公园、新天地,https://place.qyer.com/shanghai//travel-notes/
成都,Chengdu,82640人去过,成都大熊猫繁育研究基地、宽窄巷子、武侯祠、杜甫草堂、金沙遗址博物馆、成都海昌极地海洋公园、成都欢乐谷、春熙路、成都动物园、蜀风雅韵川剧院、国色天乡童话世界、浩海立方海洋馆、文殊院、秀丽东方、青羊宫、松鼠部落森林假日公园、中国泰迪熊博物馆、漫花庄园、天府熊猫塔、四川博物院,https://place.qyer.com/chengdu//travel-notes/
广州,Guangzhou,79673人去过,长隆野生动物世界、广州塔、长隆欢乐世界、珠江夜游、沙面、岭南印象园、宝墨园、正佳极地海洋世界、百万葵园、黄石公园、珠江夜游天字码头、中国科学院华南植物园、陈家祠、从化碧水湾温泉、珠江夜游广州塔码头、越秀公园、珠江夜游大沙头码头、上下九步行街、广州动物园、石室圣心大教堂,https://place.qyer.com/guangzhou//travel-notes/
杭州,Hangzhou,76329人去过,杭州灵隐（飞来峰）景区、灵隐寺、杭州动物园、西湖游船、岳王庙景区、胡雪岩故居、三潭印月、虎跑公园、杭州海底世界、清河坊街、京杭大运河、花港观鱼、白堤、南宋御街、云栖竹径、大喇叭、杭州云曼温泉、纪念公园、钱塘江、杭州植物园,https://place.qyer.com/hangzhou//travel-notes/
南京,Nanjing,75198人去过,牛首山文化旅游区、红山森林动物园、南京海底世界（尧泰汉海集团）、大报恩寺遗址公园、瞻园、秦淮河画舫、阅江楼、夫子庙秦淮河风光带、侵华日军南京大屠杀遇难同胞纪念馆、栖霞山、美龄宫、珍珠泉风景区、外秦淮河画舫、鸡鸣寺、六朝博物馆、江宁织造博物馆、雨花台、圣保罗教堂、梅花山、南京长江大桥,https://place.qyer.com/nanjing//travel-notes/
厦门,Xiamen,72280人去过,厦门大学、胡里山炮台、环岛路、曾厝垵、南普陀寺、厦门园林植物园、厦门科技馆、厦门方特梦幻王国、中山路步行街、鹭江夜游、钟鼓索道、帆汇帆船出海体验、灵玲马戏城、环岛观光巴士、云上厦门观光厅、鼓浪屿、观音山梦幻海岸、厦门方特东方神画、集美学村、厦门园林博览苑,https://place.qyer.com/xiamen//travel-notes/
深圳,Shenzhen,69750人去过,世界之窗、东部华侨城、深圳欢乐谷、锦绣中华民俗文化村、深圳野生动物园、东部华侨城大侠谷、南澳、地王观光、大梅沙海滨公园、东部华侨城茶溪谷、青青世界、欢乐海岸海洋奇梦馆、鬼屋、观澜山水田园旅游文化园、光明农场大观园、小梅沙、深圳欢乐海岸、天坛、海上田园、西冲,https://place.qyer.com/shenzhen//travel-notes/
重庆,Chongqing,67324人去过,长江索道、解放碑步行街、重庆园博园、黑山谷风景区、重庆欢乐谷、梦幻奥陶纪景区、汉海海洋公园、重庆统景温泉风景区、酉阳桃花源、渣滓洞、云阳龙缸国家地质公园、融汇温泉城、四面山、丰都鬼城、白帝城景区、重庆动物园、朝天门广场、欢乐海底世界、金源方特科幻公园、南山植物园,https://place.qyer.com/chongqing//travel-notes/
三亚,Sanya,65672人去过,蜈支洲岛、天涯海角、亚龙湾热带天堂森林公园、南山文化旅游区、亚龙湾、三亚千古情景区、阿浪海鲜第一市场、西岛、亚特兰蒂斯失落的空间水族馆、大东海、大小洞天、三亚湾、亚特兰蒂斯水世界、南山寺、海棠湾、凤凰岭海誓山盟景区、夜游三亚湾、亚龙湾海底世界、海底漫步、三亚海昌梦幻海洋不夜城,https://place.qyer.com/sanya//travel-notes/
苏州,Suzhou,64320人去过,寒山寺、留园、山塘古街、华谊兄弟电影世界、苏州古运河、四季悦水游村、苏州博物馆、白马涧龙池景区、平江路历史街区、天池山、金鸡湖、穹窿山、诚品书店、观前街、苏州太湖国家湿地公园、苏州湾王焰温泉、沧浪亭、阳山温泉度假山庄、苏州上方山国家森林公园、金鸡湖游船,https://place.qyer.com/suzhou//travel-notes/
珠海,Zhuhai,62480人去过,珠海长隆海洋王国、珠海横琴·长隆国际海洋度假区、澳门环岛游、情侣路、长隆横琴岛剧院、珠海海泉湾海洋温泉、御温泉、珠海渔女、圆明新园、梦幻水城、海泉湾旅游度假区、港珠澳大桥、外伶仃岛、海滨公园、珠澳海湾游、东澳岛、海豚湾、梅溪牌坊、企鹅馆、景山公园,https://place.qyer.com/zhuhai//travel-notes/
西安,Xian,61295人去过,陕西历史博物馆、大唐芙蓉园、回民街、华清宫、西安钟楼、西安碑林博物馆、秦岭野生动物园、大明宫国家遗址公园、曲江海洋极地公园、乐华城•乐华欢乐世界、高家大院、大唐不夜城、西安城墙、大雁塔北广场、西安鼓楼、骊山、大雁塔北广场音乐喷泉、小雁塔雁园皮影戏、秦始皇兵马俑、大雁塔,https://place.qyer.com/xian//travel-notes/
